"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-11-27 ~ 2025-11-26"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 용산구 한강로2가","집합","15-47","","일반상업","판매","12m미만","16.45"," ","37,000","40","법인","개인","202511","25","","","-","중개거래","서울 강남구, 서울 용산구"
"2","서울특별시 서초구 방배동","집합","1002-3","명달로","제2종일반주거","제2종근린생활","25m미만","51.08"," ","47,950","2","법인","개인","202511","25","","2018","-","중개거래","서울 관악구"
"3","서울특별시 강남구 수서동","집합","724","광평로","일반상업","업무","25m이상","39.55"," ","25,000","19","개인","개인","202511","24","","2000","-","중개거래","서울 강남구"
"4","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","2,700","","법인","개인","202511","24","","2002","-","직거래","-"
"5","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.64"," ","2,500","","법인","개인","202511","24","","2002","-","직거래","-"
"6","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","1,600","","법인","개인","202511","24","","2002","-","직거래","-"
"7","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.61"," ","3,000","","법인","개인","202511","24","","2002","-","직거래","-"
"8","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.92"," ","3,300","","법인","개인","202511","24","","2002","-","직거래","-"
"9","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","3,050","","법인","개인","202511","24","","2002","-","직거래","-"
"10","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","1,750","","법인","개인","202511","24","","2002","-","직거래","-"
"11","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","8.42"," ","5,300","9","법인","개인","202511","24","","2002","-","직거래","-"
"12","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.08"," ","3,000","","법인","개인","202511","24","","2002","-","직거래","-"
"13","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","3.77"," ","2,500","","법인","개인","202511","24","","2002","-","직거래","-"
"14","서울특별시 중구 신당동","일반","2**","다산로32길","제2종일반주거","제2종근린생활","12m미만","1239.96","353.00","700,000","","법인","개인","202511","24","","2006","20251125","중개거래","서울 강남구"
"15","서울특별시 중구 신당동","일반","2**","다산로32길","제2종일반주거","제2종근린생활","12m미만","1239.96","353.00","700,000","","법인","개인","202511","24","","2006","-","중개거래","서울 강남구"
"16","서울특별시 양천구 신정동","집합","325","목동동로","제3종일반주거","제1종근린생활","25m이상","11.00"," ","50,000","1","개인","개인","202511","24","","1988","-","중개거래","서울 양천구"
"17","서울특별시 강북구 수유동","집합","45-88","노해로3길","일반상업","업무","8m미만","19.94"," ","7,350","7","개인","개인","202511","24","","2001","-","중개거래","서울 강북구"
"18","서울특별시 동대문구 장안동","집합","329-3","장안벚꽃로","제3종일반주거","제1종근린생활","25m미만","23.44"," ","14,500","2","개인","개인","202511","24","","2007","-","중개거래","서울 동대문구"
"19","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","기타","25m이상","886.00"," ","240,000","7","법인","개인","202511","24","","1976","-","직거래","-"
"20","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"21","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,050","40","법인","개인","202511","24","","2005","-","직거래","-"
"22","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"23","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"24","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","제1종근린생활","25m이상","5.80"," ","2,700","","법인","개인","202511","24","","2002","-","직거래","-"
"25","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"26","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"27","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.29"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"28","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.29"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"29","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"30","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.70"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"31","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"32","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"33","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"34","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.60"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"35","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.92"," ","6,000","","법인","개인","202511","24","","1976","-","직거래","-"
"36","서울특별시 관악구 봉천동","집합","1718","은천로","제3종일반주거","제2종근린생활","25m미만","25.13"," ","24,000","3","개인","개인","202511","24","","2005","-","중개거래","서울 관악구"
"37","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,600","41","법인","개인","202511","24","","2005","-","직거래","-"
"38","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,600","40","법인","개인","202511","24","","2005","-","직거래","-"
"39","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,600","41","법인","개인","202511","24","","2005","-","직거래","-"
"40","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"41","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"42","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"43","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.60"," ","6,000","4","법인","개인","202511","23","","1976","-","직거래","-"
"44","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"45","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.29"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"46","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"47","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.54"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"48","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.60"," ","6,000","2","법인","개인","202511","23","","1976","-","직거래","-"
"49","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"50","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"51","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.15"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"52","서울특별시 동대문구 전농동","집합","295-431","전농로15길","근린상업","판매","8m미만","11.64"," ","17,000","","개인","개인","202511","23","","1969","-","중개거래","서울 동대문구"
"53","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"54","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"55","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"56","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","23","","1976","-","직거래","-"
"57","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"58","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"59","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"60","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"61","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"62","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"63","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"64","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"65","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"66","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","6.60"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"67","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","8.44"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"68","서울특별시 마포구 서교동","집합","357-1","홍익로3길","제2종일반주거","업무","8m미만","24.00"," ","15,000","","개인","개인","202511","22","","1989","-","중개거래","서울 마포구"
"69","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","3.80"," ","3,000","","법인","개인","202511","22","지분","1976","-","직거래","-"
"70","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"71","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"72","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
"73","서울특별시 동대문구 제기동","집합","892-71","왕산로","일반상업","판매","25m이상","7.20"," ","6,000","","법인","개인","202511","22","","1976","-","직거래","-"
